candidate_id,rank,score,reasoning
CAND_0018499,1,0.9017,"Founding team match: Senior Machine Learning Engineer offering 7.2 years of experience; strong production exposure to Weaviate, Recommendation Systems, scikit-learn and quick availability (15-day notice period)."
CAND_0002025,2,0.8974,"Top fit: Senior AI Engineer located in Trivandrum, Kerala with 5.9 yrs experience; matches core JD requirements with verified skills in FAISS, TensorFlow, scikit-learn and active GitHub contribution."
CAND_0086022,3,0.8918,"Top fit: Senior Applied Scientist located in Kolkata, West Bengal with 5.3 yrs experience; matches core JD requirements with verified skills in Recommendation Systems, Fine-tuning LLMs, Elasticsearch and active GitHub contribution."
CAND_0077337,4,0.8916,"Top fit: Staff Machine Learning Engineer located in Kochi, Kerala with 7.0 yrs experience; matches core JD requirements with verified skills in QLoRA, Pinecone, Information Retrieval and active GitHub contribution."
CAND_0078492,5,0.8714,"Top fit: Recommendation Systems Engineer located in Kochi, Kerala with 5.1 yrs experience; matches core JD requirements with verified skills in FAISS, Recommendation Systems, Qdrant and active GitHub contribution."
CAND_0081846,6,0.8701,"Top fit: Lead AI Engineer located in Jaipur, Rajasthan with 6.7 yrs experience; matches core JD requirements with verified skills in Information Retrieval, Elasticsearch, PyTorch and active GitHub contribution."
CAND_0050454,7,0.8695,"Top fit: AI Engineer located in Delhi, Delhi with 6.8 yrs experience; matches core JD requirements with verified skills in PyTorch, QLoRA, Fine-tuning LLMs and active GitHub contribution."
CAND_0011162,8,0.8626,"Outstanding Recommendation Systems Engineer with 5.8 years of experience; possesses strong core expertise in FAISS, LoRA, Milvus and shows excellent platform engagement (75% response rate)."
CAND_0080766,9,0.8626,"Top fit: Staff Machine Learning Engineer located in Coimbatore, Tamil Nadu with 8.8 yrs experience; matches core JD requirements with verified skills in LoRA, Information Retrieval Systems, Elasticsearch and active GitHub contribution."
CAND_0075574,10,0.8521,"Founding team match: Machine Learning Engineer offering 5.7 years of experience; strong production exposure to Hugging Face Transformers, Weaviate, Recommendation Systems and quick availability (60-day notice period)."
CAND_0018549,11,0.8483,"Well-qualified Recommendation Systems Engineer based in Coimbatore, Tamil Nadu with 6.8 yrs experience; demonstrated competence in Weaviate, Elasticsearch, Qdrant and active profile views."
CAND_0070398,12,0.8455,"Well-qualified Machine Learning Engineer based in Kochi, Kerala with 7.2 yrs experience; demonstrated competence in FAISS, Embeddings, PyTorch and active profile views."
CAND_0066999,13,0.8407,"Well-qualified Recommendation Systems Engineer based in Delhi, Delhi with 5.9 yrs experience; demonstrated competence in OpenSearch, FAISS, LLMs and active profile views."
CAND_0041669,14,0.8386,"Strong Recommendation Systems Engineer with 8.0 years of experience, bringing solid background in FAISS, Milvus, PEFT; has high responsiveness (77%)."
